order_number,Rec_0,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8,Rec_9,Rec_10,Rec_11,Rec_12,Rec_13,Rec_14
195258,"['Power Tools', 8.818000000000001]","['HVAC and Refrigeration', 5.2263]","['Hand Tools', 3.1986]","['Test Instruments', 2.9596]","['Adhesives, Sealants and Tape', 2.786]","['Welding', 2.7336]","['Electrical', 2.7117999999999998]","['Material Handling', 2.6749]","['Cleaning', 2.6245]","['Machining', 2.6219]","['Lighting', 2.5340000000000003]","['Safety', 2.4448000000000003]","['Abrasives', 2.2557000000000005]","['Plumbing', 2.1023]","['Fasteners', 2.0982999999999996]"
195508,"['Machining', 9.718]","['Abrasives', 6.6701999999999995]","['Cleaning', 5.9869]","['Adhesives, Sealants and Tape', 5.7767]","['Pneumatics', 5.689699999999999]","['Electrical', 5.138299999999999]","['Power Tools', 5.0591]","['Hand Tools', 4.6702]","['Electronics, Appliances, and Batteries', 4.4472000000000005]","['Safety', 4.314399999999999]","['Fasteners', 4.2915]","['Lubrication', 4.1233]","['Plumbing', 4.0267]","['Material Handling', 3.5381]","['Paint, Equipment and Supplies', 3.1763000000000003]"
195908,"['Abrasives', 10.724400000000001]","['Cleaning', 9.0202]","['Hand Tools', 7.577299999999999]","['Safety', 6.3725]","['Adhesives, Sealants and Tape', 5.9866]","['Electronics, Appliances, and Batteries', 5.2705]","['Machining', 4.6374]","['Electrical', 4.6122]","['Power Tools', 4.5508999999999995]","['Fasteners', 4.4706]","['Lubrication', 4.435099999999999]","['Material Handling', 4.2242999999999995]","['Pneumatics', 4.0360000000000005]","['Fleet and Vehicle Maintenance', 3.9767]","['Plumbing', 3.7867]"
195911,"['Safety', 18.6684]","['Cleaning', 15.1652]","['Hand Tools', 13.688999999999997]","['Adhesives, Sealants and Tape', 11.779099999999998]","['Pneumatics', 10.330400000000001]","['Electrical', 10.2322]","['Plumbing', 9.889999999999999]","['Abrasives', 9.4214]","['Electronics, Appliances, and Batteries', 8.2717]","['Power Tools', 8.2703]","['Lubrication', 8.1681]","['Material Handling', 7.978199999999999]","['Machining', 7.8109]","['Lighting', 7.698599999999999]","['Fasteners', 7.4411]"
195973,"['Electrical', 16.9533]","['Plumbing', 10.818999999999999]","['Fasteners', 6.7452]","['Adhesives, Sealants and Tape', 6.2192]","['Pneumatics', 5.8187999999999995]","['Cleaning', 5.2943]","['Safety', 5.0916]","['Hand Tools', 5.0783000000000005]","['Machining', 4.8859]","['Power Tools', 4.7229]","['Lighting', 4.2396]","['Lubrication', 4.2004]","['Material Handling', 4.0632]","['Abrasives', 3.9984]","['Electronics, Appliances, and Batteries', 3.8781000000000003]"
196010,"['Fasteners', 36.30799999999999]","['Electrical', 15.984900000000001]","['Plumbing', 12.8467]","['Machining', 12.500900000000001]","['Pneumatics', 11.941899999999999]","['Adhesives, Sealants and Tape', 10.1366]","['Power Tools', 9.518]","['Cleaning', 8.6595]","['Lubrication', 8.5581]","['Hand Tools', 8.407599999999999]","['Abrasives', 8.024]","['Safety', 7.784899999999999]","['Electronics, Appliances, and Batteries', 6.4483]","['Material Handling', 6.386699999999999]","['Lighting', 5.5899]"
196098,"['Test Instruments', 3.7089]","['Electrical', 3.2438]","['Safety', 3.1691]","['Lighting', 2.4747000000000003]","['Hand Tools', 2.1148999999999996]","['Cleaning', 1.9718]","['Outdoor Equipment', 1.9604]","['Adhesives, Sealants and Tape', 1.9562]","['Power Tools', 1.7956]","['Material Handling', 1.6906]","['Plumbing', 1.5439]","['Electronics, Appliances, and Batteries', 1.4719000000000002]","['Fasteners', 1.412]","['Pneumatics', 1.3730000000000002]","['Machining', 1.36]"
196257,"['Adhesives, Sealants and Tape', 14.942900000000002]","['Cleaning', 9.7076]","['Safety', 9.655999999999999]","['Hand Tools', 8.286999999999999]","['Electrical', 8.2094]","['Power Tools', 6.6128]","['Material Handling', 6.1370000000000005]","['Electronics, Appliances, and Batteries', 6.0153]","['Fasteners', 5.953600000000001]","['Abrasives', 5.8905]","['Machining', 5.7293]","['Paint, Equipment and Supplies', 5.637499999999999]","['Plumbing', 5.5893999999999995]","['Lubrication', 5.5804]","['Pneumatics', 5.1096]"
196434,"['Hand Tools', 12.5945]","['Pneumatics', 11.9911]","['Abrasives', 8.4775]","['Adhesives, Sealants and Tape', 8.267]","['Power Tools', 7.6518999999999995]","['Machining', 7.346799999999999]","['Cleaning', 7.2619]","['Electrical', 7.1266]","['Safety', 7.0658]","['Fasteners', 6.6758]","['Lighting', 6.646300000000001]","['Welding', 6.620799999999999]","['Plumbing', 6.1543]","['Material Handling', 5.8258]","['Lubrication', 5.8011]"
196702,"['Safety', 14.5291]","['Hand Tools', 7.7432]","['Cleaning', 6.4126]","['Electronics, Appliances, and Batteries', 6.0816]","['Adhesives, Sealants and Tape', 5.9361999999999995]","['Material Handling', 4.8571]","['Electrical', 4.567399999999999]","['Power Tools', 4.1559]","['Abrasives', 3.9067999999999996]","['Lighting', 3.8303]","['Machining', 3.5367]","['Lubrication', 3.3589]","['Plumbing', 3.2116999999999996]","['Paint, Equipment and Supplies', 3.1803]","['Fasteners', 3.075]"
